Description,,Summary Amt.
Beginning balance as of 10/01/2025,,"357.05"
Total credits,,"4,528.07"
Total debits,,"-4,882.79"
Ending balance as of 11/14/2025,,"2.33"

Date,Description,Amount,Running Bal.
10/01/2025,Beginning balance as of 10/01/2025,,"357.05"
10/01/2025,"Zelle payment from John Smith Conf# AB8KL2MXC","100.00","457.05"
10/01/2025,"BKOFAMERICA MOBILE 10/01 XXXXX82945 DEPOSIT *MOBILE MO","11.46","468.51"
10/01/2025,"CONSUMER CELLULAR INC 09/30 PURCHASE XXX-XX91237 OR","-27.00","441.51"
10/02/2025,"AMAZON MKTPL*AB3CD5EF0 10/01 PURCHASE Amzn.com/bill WA","-30.59","410.92"
10/02/2025,"UPSTART NETWORK DES:JEFFERIES ID:9482156 INDN:JOHN SMITH CO ID:78392641PQ WEB PMT INFO:FM XXXXX5728 BORROWER_PAYMT","-300.00","110.92"
10/03/2025,"Zelle payment from John Smith Conf# PQ5NT8WK7","200.00","310.92"
10/03/2025,"AMAZON MKTPL*XY9KL2MN1 10/01 PURCHASE Amzn.com/bill WA","-37.51","273.41"
10/03/2025,"CITY WATER UTILITIES 10/02 PURCHASE XXX-XX46891 TX","-19.90","253.51"
10/06/2025,"VENMO* John 10/04 PMNT SENT Visa Direct NY","-200.00","53.51"
10/06/2025,"Audible*PQ8RT4VW2 10/04 PURCHASE Amzn.com/bill NJ","-15.88","37.63"
10/06/2025,"CULVERS OF ANYTOWN 10/05 PURCHASE ANYTOWN MO","-21.43","16.20"
10/07/2025,"OPTUM BANK DES:REIMBUR ID:XXXXX3294 INDN:JOHN M SMITH CO ID:XXXXX67819 PPD","80.00","96.20"
10/08/2025,"CHEWY.COM 10/07 PURCHASE 800-672-4399 FL","-20.34","75.86"
10/10/2025,"ACME CORP DES:PAYROLL ID:58247 INDN:JOHN SMITH CO ID:XXXXX92451 PPD","967.87","1,043.73"
10/10/2025,"AMAZON MKTPL*GH5JK8NP3 10/08 PURCHASE Amzn.com/bill WA","-8.84","1,034.89"
10/10/2025,"AMAZON RETA* LM7QS9TU4 10/08 PURCHASE WWW.AMAZON.CO WA","-48.69","986.20"
10/10/2025,"AMAZON RETA* WX2YZ6BC5 10/09 PURCHASE WWW.AMAZON.CO WA","-18.14","968.06"
10/14/2025,"CONSUMER CELLULAR INC 10/10 PURCHASE XXX-XX38652 OR","-27.00","941.06"
