Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance
"5678S90",11/16/2025,,"Deposit Transfer From Share 00/Funds Transfer via Mobile",,.99,Posted,855.35
"5678S90",11/16/2025,,"Withdrawal DEBIT CARD/QT 4150 INSIDE ANYTOWN TX Date 11/14/25 24692165320109748411721 Card 1234Merchant Category Code: 5541",15.23,,Posted,854.36
"5678S90",11/16/2025,,"Withdrawal DEBIT CARD/AMAZON MKTPL*B82LH69L1 Amzn.com/bill WA Date 11/16/25 24692165320109351897026 Card 1234Merchant Category Code: 5942",28.44,,Posted,869.59
"5678S90",11/11/2025,,"Withdrawal DEBIT CARD/ROSAS CAFE &amp; TORTILLA F ANYTOWN TX Date 11/10/25 24013395315002183354435 Card 1234Merchant Category Code: 5814",34.37,,Posted,898.03
"5678S90",11/10/2025,,"Deposit Cash/Transactor: JOHN DOE",,710.00,Posted,932.40
"5678S90",11/7/2025,,"Withdrawal",194.81,,Posted,222.40
"5678S90",11/7/2025,,"Withdrawal Transfer To Loan 02",314.52,,Posted,417.21
"5678S90",11/7/2025,,"Withdrawal DEBIT CARD/TST* RESTAURANT NAME D ANYTOWN TX Date 11/07/25 24137465311500986665929 Card 1234Merchant Category Code: 5812",25.19,,Posted,731.73
"5678S90",11/7/2025,,"Withdrawal ACH CAPITAL ONE/TYPE: MOBILE PMT ID: 9279744380 CO: CAPITAL ONE NAME: John Doe",145.00,,Posted,756.92
"5678S90",11/7/2025,,"Withdrawal DEBIT CARD/SQ *MEDITERRANEAN REST Anytown TX Date 11/06/25 24692165311100949465633 Card 1234Merchant Category Code: 5814",16.22,,Posted,901.92
"5678S90",11/6/2025,,"Withdrawal POS #531023837611/POS PETSMART # 0192 ANYTOWN TX Card 1234 Merchant Category Code: 5995",178.68,,Posted,918.14
"5678S90",11/6/2025,,"Withdrawal DEBIT CARD/VENMO* John Doe Visa Direct NY Date 11/06/25 24248185310307357073572 Card 1234Merchant Category Code: 6051",50.00,,Posted,1096.82
"5678S90",11/6/2025,,"Deposit ACH ACME CORP/TYPE: PAYROLL ID: 2941737782 DATA: 00000000000000002127 CO: ACME CORP",,500.00,Posted,1146.82
"5678S90",11/3/2025,,"Withdrawal UNPAIDNSF 1050/In the amount $705.00.",28.00,,Posted,646.82
"5678S90",11/3/2025,1049,"Check 1049 Tracer 943900000029324",901.00,,Posted,674.82
"5678S90",11/3/2025,1048,"Check 1048 Tracer 943900000029381",900.00,,Posted,1575.82
"5678S90",11/3/2025,1047,"Check 1047 Tracer 943900000029339",500.00,,Posted,2475.82
"5678S90",11/1/2025,,"Withdrawal DEBIT CARD/BURGER RESTAURANT ANYTOWN TX Date 10/31/25 24692165305108935171113 Card 1234Merchant Category Code: 5812",9.85,,Posted,2975.82
"5678S90",11/1/2025,,"Withdrawal DEBIT CARD/QT 4150 INSIDE ANYTOWN TX Date 10/31/25 24692165305108776356138 Card 1234Merchant Category Code: 5541",8.02,,Posted,2985.67
"5678S90",10/31/2025,,"Withdrawal POS #530420462967/POS VETERINARY CLINIC ANYTOWN MO Card 5681 Merchant Category Code: 0742",138.66,,Posted,2993.69
"5678S90",10/31/2025,,"Withdrawal POS #530401098708/POS WAL-MART #2694 ANYTOWN MO Card 5681Merchant Category Code: 5411",21.00,,Posted,3132.35
"5678S90",10/31/2025,,"Withdrawal POS #530476717500/POS SAMSCLUB #4741 ANYTOWN MO Card 5681Merchant Category Code: 5300",4.91,,Posted,3153.35
"5678S90",10/31/2025,,"Withdrawal POS #530401316300/POS SAMSCLUB #4741 ANYTOWN MO Card 5681Merchant Category Code: 5300",58.27,,Posted,3158.26
"5678S90",10/30/2025,,"Deposit ACH ACME CORP/TYPE: PAYROLL ID: 1911774434 CO: ACME CORP",,3006.00,Posted,3216.53
"5678S90",10/30/2025,,"Withdrawal DEBIT CARD/SAMSCLUB #6188 ANYTOWN TX Date 10/29/25 24226385303016270528410 Card 1234Merchant Category Code: 5300",108.76,,Posted,210.53
"5678S90",10/29/2025,,"Withdrawal POS #530218677286/POS GROCERY STORE #659 ANYTOWN TX Card 1234 Merchant Category Code: 5411",43.94,,Posted,319.29
"5678S90",10/25/2025,,"Withdrawal POS #529819453001/POS CRAFT STORE ANYTOWN TX Card 1234Merchant Category Code: 5970",12.98,,Posted,363.23
"5678S90",10/25/2025,,"Withdrawal POS #529800098914/POS SAMS CLUB #6188 ANYTOWN TX Card 1234Merchant Category Code: 5300",69.23,,Posted,376.21
"5678S90",10/24/2025,,"Withdrawal DEBIT CARD/PHARMACY BRANDS 800-2280475 NE Date 10/23/25 24789305297644401661548 Card 5681Merchant Category Code: 5964",47.96,,Posted,445.44
"5678S90",10/24/2025,,"Withdrawal DEBIT CARD/AMAZON MKTPL*N48QW2F50 Amzn.com/bill WA Date 10/23/25 24692165296100744443149 Card 1234Merchant Category Code: 5942",7.41,,Posted,493.40
"5678S90",10/23/2025,,"Deposit ACH ACME CORP/TYPE: PAYROLL ID: 2941737782 DATA: 00000000000000002117 CO: ACME CORP",,500.00,Posted,500.81
"5678S90",10/14/2025,,"Withdrawal POS #528722035786/POS PETSMART # 0192 ANYTOWN TX Card 1234 Merchant Category Code: 5995",113.10,,Posted,.81
"5678S90",10/10/2025,,"Recurring Withdrawal DEBIT CARD/CHEWY.COM 800-672-4399 FL Date 10/10/25 24692165283108175786956 Card 1234Merchant Category Code: 5912",85.22,,Posted,113.91
"5678S90",10/9/2025,,"Withdrawal Transfer To Loan 02",314.52,,Posted,199.13
"5678S90",10/9/2025,,"Deposit ACH ACME CORP/TYPE: PAYROLL ID: 2941737782 DATA: 00000000000000002106 CO: ACME CORP",,500.00,Posted,513.65
